Employee ID,Base Salary,House Rent Allowance,Medical Allowance,Transport Allowance,Tax,Insurance,Loan Repayment,Gross Salary,Net Salary
E0033,27507.71,7251.0,2561.37,1980.11,4242.41,1200.22,613.23,39300.19,33244.33
E0034,84779.55,18379.78,9533.84,8058.33,6861.84,1891.28,4671.77,120751.5,107326.61
E0035,65978.41,13924.09,6396.01,5442.67,12111.42,556.11,3771.36,91741.18,75302.29
E0036,35579.6,10285.24,4261.04,1557.48,5142.89,1645.75,2211.63,51683.36,42683.09
E0037,94468.39,14850.05,6433.6,9236.9,13390.09,1427.82,2989.5,124988.94,107181.53
E0038,50793.78,9045.68,5663.07,5014.74,9692.89,1737.19,394.64,70517.27,58692.55
E0039,73147.64,16827.91,5860.14,7211.1,14106.2,517.66,1223.72,103046.79000000001,87199.21
E0040,69680.98,19199.39,8251.92,3084.99,12358.68,531.63,4016.24,100217.28,83310.73
E0041,65433.39,15979.61,4762.25,6397.2,8536.07,1188.89,1705.96,92572.45,81141.53
E0042,53422.48,11970.6,6194.33,1775.67,4022.52,1750.84,4561.48,73363.08,63028.240000000005
E0043,93873.76,16939.1,12165.48,6764.37,18669.23,1355.08,942.23,129742.70999999998,108776.16999999998
E0044,90284.78,14270.45,8893.91,8853.42,17043.82,680.55,1937.84,122302.56,102640.35
E0045,90361.32,17178.4,11577.06,7024.0,14085.74,1386.21,1982.97,126140.78,108685.86
E0046,20063.28,4445.41,1054.37,661.99,1811.72,1932.54,4770.83,26225.05,17709.96
E0047,44463.64,12763.37,4892.57,1589.84,4247.73,960.93,1835.74,63709.42,56665.02
E0048,50087.26,12793.88,2632.3,1679.63,8524.95,1498.03,2794.56,67193.07,54375.530000000006
E0049,82100.0,19213.21,12030.14,8187.47,10054.34,1893.36,3635.68,121530.81999999999,105947.43999999999
E0050,48653.86,14071.85,6927.1,3820.64,8666.23,524.62,989.75,73473.45,63292.85
E0051,62572.03,11607.21,5937.99,5797.21,4843.6,558.09,3244.03,85914.44,77268.72
E0052,20703.29,2676.91,2532.72,729.59,2309.98,1241.96,2519.78,26642.510000000002,20570.79
E0053,20153.19,2608.0,1130.92,1715.6,3852.51,1032.9,4040.76,25607.71,16681.54
E0054,61364.03,10413.92,8867.78,1985.63,11546.74,1518.64,834.43,82631.36,68731.55
E0055,86392.62,13223.36,11563.24,5885.63,13192.84,1123.82,1619.48,117064.85,101128.71
E0056,76264.1,13866.24,4142.7,5757.91,10778.65,746.54,4275.4,100030.95000000001,84230.36000000002
E0057,41915.21,5455.7,3916.31,3672.05,7109.36,695.42,4298.15,54959.27,42856.34
E0058,66746.15,8609.47,5989.9,5278.17,9958.05,1431.68,1397.97,86623.68999999999,73835.98999999999
E0059,25436.09,5306.78,2904.09,2477.68,4435.72,1098.09,1791.3,36124.64,28799.53
E0060,64394.13,15301.24,7106.46,4273.58,9138.19,671.91,4260.03,91075.41,77005.28
E0061,80457.0,17141.47,9141.31,2814.99,9993.18,727.37,1440.6,109554.77,97393.62
E0062,75868.44,11111.75,9598.92,2657.82,12440.86,591.55,1815.34,99236.93000000001,84389.18000000001
E0063,75859.64,17253.41,5355.56,5860.74,13969.93,1492.43,4803.42,104329.35,84063.57
E0064,31084.27,4409.21,3608.1,1474.02,5018.39,1967.93,3776.37,40575.6,29812.909999999996
E0065,23034.81,6850.27,3136.12,895.81,3109.38,1521.15,267.53,33917.01,29018.95
E0066,21636.69,4552.64,2601.09,1466.7,2451.15,1427.56,1355.32,30257.12,25023.09
E0067,82428.3,13918.41,9607.55,3361.98,9024.96,599.18,2908.72,109316.24,96783.38
E0068,74702.48,14535.92,8675.96,7423.36,4115.55,515.11,4544.23,105337.71999999999,96162.82999999999
E0069,39312.13,8096.2,3708.89,2030.19,5612.6,997.36,3755.19,53147.409999999996,42782.259999999995
E0070,21051.25,6006.32,2476.14,1873.86,3682.79,1102.71,4021.44,31407.57,22600.629999999997
E0071,40551.44,9450.67,5988.28,2093.68,8087.91,1171.93,3642.66,58084.07,45181.57
E0072,71641.95,17794.09,8349.0,3643.62,4299.75,1855.28,559.41,101428.65999999999,94714.21999999999
E0073,26543.5,5737.81,1807.75,2224.2,1941.13,1646.59,3698.92,36313.259999999995,29026.619999999995
E0074,32362.27,5962.99,4314.89,2270.3,2710.89,815.43,4190.84,44910.450000000004,37193.29000000001
E0075,44213.73,13163.27,3384.11,3429.82,8545.68,1641.68,2566.73,64190.93,51436.84
E0076,68426.64,17125.24,9977.71,4773.15,9630.07,1974.67,2151.76,100302.73999999999,86546.23999999999
E0077,68306.23,12133.1,3896.53,5226.92,7861.76,557.52,2474.75,89562.78,78668.75
E0078,99344.93,17721.45,13628.84,6483.54,7863.97,1716.72,4484.69,137178.75999999998,123113.37999999998
E0079,32401.26,5115.91,3844.94,3072.03,4855.03,1941.09,3708.92,44434.14,33929.1
E0080,84016.73,23132.89,5029.43,3560.97,10284.88,1220.04,2741.49,115740.01999999999,101493.60999999999
E0081,62713.65,6369.39,4902.72,4734.31,6306.4,1035.94,1793.99,78720.07,69583.74
E0082,94951.37,18892.43,6270.25,6132.83,5458.31,675.28,1956.86,126246.87999999999,118156.43
E0083,93607.2,9946.77,6419.11,9033.78,8888.64,1470.03,1105.18,119006.86,107543.01
E0084,46050.29,7477.13,5306.3,1629.93,7512.87,1172.3,1817.86,60463.65,49960.62
E0085,92368.08,11313.69,8404.86,4373.03,16261.51,1981.8,2589.38,116459.66,95626.97
E0086,86191.03,12864.15,7710.07,2670.55,11887.78,771.62,772.67,109435.8,96003.73
E0087,33480.75,9542.89,2169.69,2472.85,4665.8,1251.9,4015.3,47666.18,37733.18
E0088,79838.16,15633.05,11922.05,3209.47,15273.66,1418.01,1323.71,110602.73000000001,92587.35
E0089,58814.38,17160.79,5104.93,1968.5,10539.98,1779.59,1591.39,83048.6,69137.64000000001
E0090,78165.55,9551.24,10657.83,3400.62,9856.21,1737.14,1344.66,101775.24,88837.23000000001
E0091,36316.39,8376.33,1899.16,3372.31,2530.51,1189.47,1425.14,49964.19,44819.07
E0092,35262.15,3953.65,2303.59,2264.3,4939.13,1372.91,2373.79,43783.69,35097.86
E0093,79578.17,22060.38,5618.2,6901.57,10758.53,1057.6,2215.62,114158.32,100126.57
E0094,98470.48,28845.34,9862.75,5018.44,14361.44,1780.94,2013.55,142197.01,124041.08000000002
E0095,96990.87,28678.15,8382.78,5521.17,13513.55,1415.84,1771.04,139572.97,122872.54000000001
E0096,32585.52,3889.47,2430.17,3044.19,4667.81,1770.46,4041.9,41949.35,31469.18
E0097,33844.87,3784.29,2569.07,3357.5,3311.05,1281.02,1989.56,43555.73,36974.100000000006
E0098,65248.17,13860.95,7748.98,3151.95,6280.2,1836.78,4343.14,90010.04999999999,77549.93
E0099,53554.59,9822.76,4589.42,2463.01,4738.05,1379.52,4777.81,70429.78,59534.399999999994
E0100,41821.79,7976.27,4103.63,2317.57,4284.68,1044.53,656.63,56219.259999999995,50233.42
E0101,34815.46,6236.27,4279.12,2323.81,4824.88,1384.81,2641.06,47654.659999999996,38803.909999999996
E0102,30382.86,3634.6,1718.35,2710.29,1769.94,1287.47,4666.5,38446.1,30722.19
E0103,52820.97,12117.81,4415.39,3699.68,4230.87,720.95,4998.45,73053.84999999999,63103.57999999999
E0104,63298.95,14888.71,7762.61,3519.61,12240.73,1635.77,222.74,89469.88,75370.64
E0105,60911.1,11916.49,7678.94,3995.88,5948.58,1646.3,144.98,84502.41,76762.55
E0106,62978.46,13357.88,4128.92,5151.47,3205.6,540.89,440.99,85616.73,81429.25
E0107,99470.86,22959.76,5547.22,8482.68,9720.47,1081.67,329.56,136460.52,125328.81999999999
E0108,76719.11,22928.43,9344.87,5716.56,10862.27,962.62,500.59,114708.97,102383.49
E0109,38829.71,7077.28,5420.23,1758.05,2263.31,1879.83,4098.77,53085.270000000004,44843.36
E0110,96686.01,14597.12,14106.54,5941.31,14305.4,991.8,1319.12,131330.97999999998,114714.65999999997
E0111,96642.24,14750.45,8892.78,8450.91,18533.08,967.6,2117.18,128736.38,107118.52
E0112,97923.46,10751.87,6029.26,4258.59,12971.61,1050.84,2371.05,118963.18,102569.68
E0113,24115.95,3056.35,1886.34,1344.76,4802.16,1097.95,2194.2,30403.399999999998,22309.089999999997
E0114,99824.23,14229.76,6705.72,4950.5,11513.52,595.38,27.83,125710.20999999999,113573.48
E0115,83240.88,12673.52,11807.94,4374.75,15449.0,1750.04,3391.25,112097.09000000001,91506.80000000002
E0116,54586.04,15460.9,5728.66,2892.34,8482.62,894.41,1220.56,78667.94,68070.35
E0117,77896.9,16842.82,9267.73,5059.28,12939.41,877.73,636.47,109066.73,94613.12
E0118,99843.49,10048.02,11277.76,6942.5,19138.63,812.53,3130.35,128111.77,105030.26000000001
E0119,39206.24,4204.96,2615.62,2048.29,2206.38,1124.12,2437.96,48075.11,42306.65
E0120,23773.9,3658.23,1447.29,1228.91,4112.13,1226.85,2266.8,30108.33,22502.550000000003
E0121,41483.19,9206.01,4577.79,1913.03,4024.92,803.6,156.11,57180.020000000004,52195.39000000001
E0122,43485.93,6426.4,4398.19,4160.66,4319.13,797.71,3607.53,58471.18000000001,49746.810000000005
E0123,77665.34,22146.17,7540.12,6953.24,8728.55,1670.75,431.62,114304.87,103473.95
E0124,41391.94,4868.3,5030.31,1738.01,3405.03,1898.43,2101.02,53028.560000000005,45624.08
E0125,62286.15,17048.65,5629.8,3250.84,12056.09,1402.65,2750.24,88215.44,72006.46
E0126,46285.77,8917.3,4578.81,3443.63,5055.34,1415.24,2270.33,63225.50999999999,54484.59999999999
E0127,48270.16,5673.89,2944.39,2864.53,2869.0,1563.86,2972.34,59752.97,52347.770000000004
E0128,79622.38,14445.85,5234.3,7876.76,9175.29,572.72,1494.02,107179.29000000001,95937.26000000001
E0129,73841.1,18610.37,4787.87,3501.8,5143.11,1866.13,533.72,100741.14,93198.18
E0130,73189.87,21262.25,9668.25,2474.42,3887.42,1691.21,1085.28,106594.79,99930.87999999999
E0131,69681.73,20889.47,3929.54,2128.92,6822.85,1908.94,1850.74,96629.65999999999,86047.12999999999
E0132,99147.15,25041.33,8848.21,7265.96,15414.34,1517.79,3347.69,140302.65,120022.82999999999
E0133,88935.65,16700.29,11790.76,4812.88,15649.69,697.71,1412.09,122239.58,104480.09
E0134,24151.23,6424.05,2180.36,1992.39,1288.74,673.5,2314.93,34748.03,30470.86
E0135,74094.41,21621.49,4403.65,4238.24,4865.88,1284.43,1270.17,104357.79000000001,96937.31000000001
E0136,54029.97,15091.15,6866.1,4538.64,3155.43,957.71,1649.89,80525.86,74762.83
E0137,94947.02,23582.57,8850.37,4440.92,13688.92,947.46,1923.23,131820.88,115261.27
E0138,72412.16,11278.26,4777.0,5672.08,6852.64,1722.66,4547.24,94139.5,81016.95999999999
E0139,51500.84,13468.0,7349.28,1668.18,8648.08,873.58,3918.16,73986.29999999999,60546.47999999999
E0140,70927.77,15919.56,9664.39,5062.84,11473.48,526.12,4389.09,101574.56,85185.87
E0141,27107.45,7709.99,2708.05,1131.32,1711.14,1365.02,2452.35,38656.810000000005,33128.3
E0142,44859.4,10329.26,4879.18,1710.47,8766.79,1665.61,3334.36,61778.310000000005,48011.55
E0143,77910.93,12070.81,7273.93,2954.58,12206.78,858.47,5.48,100210.24999999999,87139.51999999999
E0144,77019.15,12239.27,5171.99,7499.9,8814.59,1521.87,4762.65,101930.31,86831.2
E0145,99041.73,14698.41,7123.63,4534.12,13043.32,1601.7,924.61,125397.89,109828.26
E0146,37365.71,7206.14,2186.23,1461.2,3883.46,925.01,3033.92,48219.28,40376.89
E0147,80140.33,23911.82,10444.74,4529.38,7375.54,1261.67,3064.81,119026.27,107324.25
E0148,66104.66,18747.5,3887.47,2545.01,8079.92,579.62,3704.76,91284.64,78920.34
E0149,78785.95,10694.92,8086.41,7531.31,8363.66,1984.9,2708.69,105098.59,92041.34
E0150,89710.74,11481.39,11924.61,4463.11,6531.78,1169.98,346.03,117579.85,109532.06000000001
E0151,63412.36,17394.31,7234.44,4494.7,4872.7,1145.34,4570.56,92535.81,81947.20999999999
E0152,45065.47,5809.87,5545.73,2914.56,5880.49,775.62,3706.38,59335.630000000005,48973.14000000001
E0153,91728.86,12856.8,10471.23,7360.87,8041.34,1243.99,3390.0,122417.76,109742.43
E0154,61763.65,10801.69,5149.53,3841.7,6022.94,1453.44,428.99,81556.56999999999,73651.2
E0155,46503.84,12976.12,3535.11,4104.41,5653.35,1306.0,100.99,67119.48,60059.14
E0156,30166.9,4792.51,2834.42,2250.81,1654.27,772.06,750.01,40044.64,36868.3
E0157,32903.69,7784.44,4719.41,2950.22,6371.36,1936.59,951.18,48357.76000000001,39098.63000000001
E0158,33258.06,6126.86,3790.9,1587.6,3795.09,1527.57,4428.21,44763.42,35012.55
E0159,46779.46,11346.42,2677.21,3341.27,2530.27,1061.46,352.46,64144.35999999999,60200.16999999999
E0160,99847.21,15669.37,9228.86,9852.25,5450.26,932.84,1736.44,134597.69,126478.15
E0161,68065.95,13584.07,9045.1,5247.93,11937.11,1376.22,42.49,95943.04999999999,82587.22999999998
E0162,23896.38,3748.87,2063.35,2369.03,4198.82,1474.46,2179.89,32077.629999999997,24224.46
E0163,69825.02,9572.19,3497.82,2893.82,11215.85,621.83,4397.79,85788.85000000002,69553.38000000002
E0164,67722.37,9262.54,6283.84,4575.1,9566.76,1422.21,2030.47,87843.85,74824.41
E0165,75237.84,18453.57,7077.42,3541.79,5263.96,1584.11,4580.72,104310.62,92881.82999999999
E0166,46941.1,4755.8,4339.22,1754.19,2949.78,782.48,266.17,57790.310000000005,53791.880000000005
E0167,83393.19,15401.16,6470.88,7612.98,6110.72,1174.53,42.6,112878.21,105550.36
E0168,54627.25,8631.28,4959.23,4646.04,4802.66,953.98,4721.76,72863.79999999999,62385.39999999999
E0169,76767.46,9032.91,8818.44,3121.32,12712.45,1387.05,676.5,97740.13000000002,82964.13000000002
E0170,38222.24,5412.86,5244.99,2081.98,5117.72,1592.4,2689.23,50962.07,41562.72
E0171,79438.46,8949.7,10761.74,3610.81,11878.78,1655.19,1075.64,102760.71,88151.1
E0172,94710.49,12819.56,12013.71,3874.4,8668.2,945.37,972.41,123418.16,112832.18000000001
E0173,45084.07,4853.01,3978.33,3192.38,2945.57,1892.35,4781.66,57107.79,47488.21
E0174,43022.68,4900.57,4507.64,2479.32,2285.89,1753.23,3097.72,54910.21,47773.369999999995
E0175,50330.66,6571.12,3880.31,1901.58,7079.53,1725.69,3873.47,62683.670000000006,50004.98000000001
E0176,96716.87,18055.47,8171.89,8672.72,15084.07,643.02,4306.45,131616.94999999998,111583.40999999997
E0177,51367.18,8239.5,3109.73,4255.64,8633.42,1767.23,2574.27,66972.05,53997.130000000005
E0178,56489.19,6942.86,6029.63,4561.91,11066.19,1328.32,1776.53,74023.59000000001,59852.55000000001
E0179,74451.85,12211.34,8868.15,6383.68,10440.77,1489.6,1780.01,101915.01999999999,88204.63999999998
E0180,44563.82,6934.76,3082.31,1825.93,3261.14,1420.77,2202.29,56406.82,49522.62
E0181,75445.73,21371.13,8310.09,2742.38,13569.8,1861.27,2215.41,107869.33,90222.85
E0182,70845.15,19843.46,6596.27,2688.51,8294.58,1726.24,433.87,99973.38999999998,89518.69999999998
E0183,35110.89,10526.37,4664.13,2690.43,3771.52,1066.23,4777.79,52991.82,43376.28
E0184,70396.61,14608.17,4979.25,6861.71,12650.48,1175.27,4573.2,96845.74,78446.79000000001
E0185,22617.27,2796.84,3358.92,864.87,2998.88,861.9,2467.47,29637.899999999998,23309.649999999998
E0186,30777.38,8724.45,2815.93,1107.96,4419.18,1633.05,2280.01,43425.72,35093.479999999996
E0187,68947.96,12613.85,4301.15,3636.5,8852.92,1853.02,4575.58,89499.46,74217.94
E0188,35435.51,8080.94,2858.08,2087.72,3027.62,1794.18,3743.42,48462.25000000001,39897.030000000006
E0189,47817.21,8348.23,4740.17,3764.61,8860.7,1579.64,2490.5,64670.22,51739.380000000005
E0190,79111.21,18834.85,11462.17,4132.6,8365.66,1381.25,2124.15,113540.83,101669.77
E0191,95518.66,19727.6,10069.57,6779.6,13757.2,1468.6,3229.27,132095.43000000002,113640.36000000002
E0192,72689.0,21229.97,5611.99,3379.39,14533.03,1179.39,1835.54,102910.35,85362.39000000001
E0193,52812.52,9446.09,2664.14,2021.74,8978.13,1426.59,1328.04,66944.49,55211.73000000001
E0194,89078.31,21908.37,7930.91,8692.54,9718.87,503.31,3860.38,127610.13,113527.57
E0195,32228.22,5478.17,4140.72,2104.6,3692.61,861.37,373.9,43951.71,39023.83
E0196,64045.39,9712.15,7529.44,2919.38,10459.97,1900.09,1306.59,84206.36,70539.71
E0197,44246.81,6720.82,2481.35,1872.34,7017.6,1590.52,4327.97,55321.31999999999,42385.229999999996
E0198,27610.28,7114.79,3577.85,1023.49,2978.1,571.75,533.89,39326.409999999996,35242.67
E0199,31676.52,5373.6,2790.51,2291.11,5250.63,1101.34,4886.61,42131.740000000005,30893.160000000003
E0200,91251.28,14203.72,12640.15,8384.9,6716.54,744.92,620.52,126480.04999999999,118398.06999999999
E0201,91680.22,19958.91,6798.51,7341.04,5448.98,1500.62,4369.46,125778.68,114459.62
E0202,77310.41,22908.92,7235.0,3393.88,7417.41,1964.64,3895.99,110848.21,97570.17000000001
E0203,99553.29,27373.54,14010.05,9561.21,12575.72,847.31,1613.0,150498.08999999997,135462.05999999997
E0204,67807.69,8383.14,9706.93,2046.15,3846.83,1634.36,3996.91,87943.91,78465.81
E0205,77683.58,15009.36,6090.94,6521.27,5270.47,1002.79,2794.83,105305.15000000001,96237.06000000001
E0206,91877.66,24664.78,10100.98,7138.99,13096.72,1598.58,92.46,133782.41,118994.65000000001
E0207,45979.29,5807.86,3205.38,2086.2,7681.14,762.03,3780.63,57078.729999999996,44854.92999999999
E0208,73611.91,18983.0,5903.8,7303.45,13522.04,1591.72,3311.34,105802.16,87377.06
E0209,35843.75,10274.78,4151.19,1754.85,2460.79,789.14,4791.53,52024.57,43983.11
E0210,55812.92,5782.87,3026.86,5041.54,3696.36,684.11,2252.29,69664.19,63031.43
E0211,46863.79,13240.58,5527.94,1805.22,6084.68,1733.92,153.49,67437.53,59465.44
E0212,33385.42,8936.99,4416.83,2432.43,5714.44,915.79,3694.87,49171.67,38846.57
E0213,25286.66,5485.89,3617.99,1987.52,2980.34,1412.21,1086.79,36378.06,30898.719999999998
E0214,97223.53,27578.07,7668.78,9534.15,15794.31,1156.33,403.94,142004.53,124649.95
E0215,48178.67,6090.97,7089.69,3307.05,2605.77,1217.92,3724.75,64666.380000000005,57117.94
E0216,32138.62,7808.79,3740.02,3181.08,5590.14,646.87,1384.78,46868.509999999995,39246.719999999994
E0217,63610.42,18580.14,5064.35,3842.89,6237.48,1127.51,3309.16,91097.8,80423.65000000001
E0218,28141.71,5104.35,3440.05,1260.95,3801.18,1877.06,490.79,37947.06,31778.03
E0219,74414.47,7776.32,4070.48,3894.77,3882.58,1474.45,1098.71,90156.04000000001,83700.3
E0220,20939.86,4720.84,1644.48,1186.6,1446.51,761.54,2836.41,28491.78,23447.32
E0221,74543.69,18199.12,11086.68,4695.66,3872.8,1222.84,3184.25,108525.15,100245.26
E0222,91641.59,11275.52,12666.47,4303.38,12074.28,1459.27,3848.92,119886.96,102504.49
E0223,32660.17,8818.76,3322.41,1883.76,6243.34,829.9,3776.9,46685.1,35834.96
E0224,22127.11,2309.47,2007.95,770.16,1641.64,615.07,4101.0,27214.690000000002,20856.980000000003
E0225,43475.5,11633.21,2993.52,4168.62,2983.04,1883.42,3746.1,62270.85,53658.29
E0226,20089.17,2772.24,2843.48,1361.13,1367.69,1490.62,1586.11,27066.019999999997,22621.6
E0227,82578.08,11555.58,8025.54,3020.04,13674.94,1986.96,1174.31,105179.23999999999,88343.02999999998
E0228,86353.99,11818.77,12066.93,6157.0,6898.06,963.87,703.56,116396.69,107831.2
E0229,84342.06,21229.05,12305.83,4265.1,4382.91,1773.68,4555.05,122142.04000000001,111430.40000000001
E0230,67237.93,14728.5,5965.04,5579.05,8085.72,739.18,2778.83,93510.51999999999,81906.79
E0231,87306.42,15632.58,9044.67,3399.57,8909.09,1710.41,322.53,115383.24,104441.21
E0232,31668.9,8525.76,4277.48,2601.65,4001.35,1981.38,384.57,47073.79,40706.490000000005
E0233,78695.46,17120.85,10894.53,3225.17,14114.76,1942.03,4117.02,109936.01,89762.2
E0234,52524.31,6650.12,3516.48,4799.49,3321.03,1987.16,4962.89,67490.40000000001,57219.32000000001
E0235,75356.42,8118.05,10775.43,4868.13,5819.22,1800.39,4395.39,99118.03,87103.03
E0236,25440.73,6425.35,3148.03,2114.18,4250.04,1039.46,3124.11,37128.29,28714.68
E0237,69604.9,11557.43,6083.95,6411.52,4136.06,1734.38,1.5,93657.79999999999,87785.85999999999
E0238,59625.92,8707.63,4195.78,5747.63,8819.16,1825.36,3159.96,78276.96,64472.48000000001
E0239,75868.91,20450.61,9704.36,5928.03,6236.29,1579.52,2982.58,111951.91,101153.52
E0240,69134.58,16213.97,4600.91,4144.58,7908.52,1927.21,2962.47,94094.04000000001,81295.84000000001
E0241,23356.85,4223.21,3077.48,2110.49,3728.81,1006.09,1629.64,32768.03,26403.489999999998
E0242,41273.26,9031.15,4238.45,1764.32,4985.13,1527.79,4136.55,56307.18,45657.71
E0243,53695.72,10176.48,6517.44,3773.35,3083.76,1094.48,2983.51,74162.99,67001.24
E0244,29378.07,4433.57,4279.98,1650.16,4944.17,753.17,1013.95,39741.78,33030.49
E0245,65200.47,14975.34,8537.92,2046.46,4980.91,1494.37,3184.58,90760.19,81100.33
E0246,30978.79,4777.22,2449.62,2379.28,5675.73,912.38,1309.53,40584.91,32687.270000000004
E0247,78044.6,20867.11,6826.94,7524.34,11108.54,1837.22,2824.41,113262.99,97492.82
E0248,69738.49,19638.38,7584.77,4514.98,8634.71,709.26,3643.44,101476.62000000001,88489.21
E0249,91476.38,25745.58,10844.96,3841.1,4875.77,750.35,4436.93,131908.02000000002,121844.97000000002
E0250,57121.93,10072.7,4659.75,3196.81,3080.64,1549.95,1173.49,75051.19,69247.11
E0251,87544.92,11377.06,7232.42,4142.82,16479.94,1687.98,3661.02,110297.22,88468.28
E0252,37022.0,11017.25,3289.15,1553.82,2501.09,1007.21,2306.85,52882.22,47067.07
E0253,70247.82,10553.13,9866.46,5445.11,10867.26,1073.83,3019.07,96112.52,81152.36
E0254,99681.62,15289.49,9872.08,4441.58,15307.29,1735.96,66.18,129284.77,112175.34
E0255,74463.41,14154.82,5976.86,6775.13,14766.64,1318.98,1116.56,101370.22000000002,84168.04000000001
E0256,42086.61,4937.45,4599.96,1941.99,4651.81,679.11,1479.84,53566.009999999995,46755.24999999999
E0257,50408.82,9185.19,5496.64,4062.18,6479.61,768.01,54.52,69152.83,61850.69
E0258,36812.71,6612.94,4541.66,2471.52,4327.03,850.5,3707.27,50438.829999999994,41554.03
E0259,27664.8,2917.3,3515.96,2070.55,4698.54,1538.14,2546.18,36168.61,27385.75
E0260,91940.12,23538.5,13705.45,5831.35,5261.38,1264.33,1758.24,135015.41999999998,126731.46999999999
E0261,94160.2,23743.0,11867.38,9018.08,17926.72,1184.85,2923.82,138788.66,116753.27
E0262,78874.81,23576.42,7136.35,4585.64,5473.97,1034.36,2698.99,114173.22,104965.9
E0263,73085.8,21063.3,5814.67,4547.16,11927.32,1871.56,773.59,104510.93000000001,89938.46
E0264,95305.9,26292.71,9868.77,7739.05,14576.76,1370.03,135.11,139206.42999999996,123124.52999999997
E0265,30766.13,3708.35,3909.9,2590.06,5968.9,895.84,394.33,40974.44,33715.37
E0266,91761.21,26559.18,6398.52,6204.64,8232.42,1392.9,213.37,130923.55000000002,121084.86000000002
E0267,81699.03,8857.52,7831.6,5498.08,8773.01,1229.85,4709.1,103886.23000000001,89174.27
E0268,66116.96,15107.51,3545.52,2708.39,4842.62,621.21,2349.46,87478.38,79665.09000000001
E0269,33463.58,7934.08,4106.91,2560.89,5328.43,957.85,833.06,48065.46000000001,40946.12000000001
E0270,54560.03,14664.19,6122.38,3912.42,9882.46,1749.89,1296.63,79259.02,66330.04000000001
E0271,25475.91,3353.43,2938.85,1206.42,3529.97,1595.0,861.59,32974.61,26988.050000000003
E0272,50468.88,13219.17,6085.56,3203.5,5792.41,817.87,1016.08,72977.11,65350.75
E0273,74485.8,12554.52,8721.91,2956.93,10328.9,711.35,3337.54,98719.16,84341.37
E0274,52942.19,9121.36,7289.57,3006.64,8301.72,1692.42,21.18,72359.76,62344.439999999995
